province,region,rank_total,province_total_million,province_items,agencies,category,category_budget_million,category_items,percent,rank_category_share
กรุงเทพมหานคร,ภาคกลาง,1,50260.1540,523,109,ถนน สะพาน และทางสัญจร,9508.9411,161,18.919443,68
กรุงเทพมหานคร,ภาคกลาง,1,50260.1540,523,109,บุคลากร สวัสดิการ และเงินอุดหนุน,22758.6547,12,45.281705,1
กรุงเทพมหานคร,ภาคกลาง,1,50260.1540,523,109,น้ำ ชลประทาน ประปา และระบายน้ำ,561.6413,12,1.117468,77
กรุงเทพมหานคร,ภาคกลาง,1,50260.1540,523,109,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,2228.5493,34,4.434028,15
กรุงเทพมหานคร,ภาคกลาง,1,50260.1540,523,109,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,4627.0634,116,9.206226,6
กรุงเทพมหานคร,ภาคกลาง,1,50260.1540,523,109,อาคารและสิ่งก่อสร้างอื่น,5841.0408,148,11.621613,38
กรุงเทพมหานคร,ภาคกลาง,1,50260.1540,523,109,อาหารและโภชนาการ,1720.3628,2,3.422916,17
กรุงเทพมหานคร,ภาคกลาง,1,50260.1540,523,109,กิจกรรม อบรม และบริหารจัดการ,1676.3186,23,3.335283,37
กรุงเทพมหานคร,ภาคกลาง,1,50260.1540,523,109,จ้างเหมาและบริการ,1337.5820,15,2.661317,27
เชียงใหม่,ภาคเหนือ,2,21169.0524,2977,187,ถนน สะพาน และทางสัญจร,4205.9039,199,19.868173,66
เชียงใหม่,ภาคเหนือ,2,21169.0524,2977,187,บุคลากร สวัสดิการ และเงินอุดหนุน,9289.2521,946,43.881284,4
เชียงใหม่,ภาคเหนือ,2,21169.0524,2977,187,น้ำ ชลประทาน ประปา และระบายน้ำ,1500.6589,67,7.088928,75
เชียงใหม่,ภาคเหนือ,2,21169.0524,2977,187,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,1226.4561,401,5.793628,8
เชียงใหม่,ภาคเหนือ,2,21169.0524,2977,187,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,517.0074,60,2.442279,52
เชียงใหม่,ภาคเหนือ,2,21169.0524,2977,187,อาคารและสิ่งก่อสร้างอื่น,2408.8380,213,11.379054,40
เชียงใหม่,ภาคเหนือ,2,21169.0524,2977,187,อาหารและโภชนาการ,644.5640,440,3.044841,32
เชียงใหม่,ภาคเหนือ,2,21169.0524,2977,187,กิจกรรม อบรม และบริหารจัดการ,805.5380,117,3.805262,32
เชียงใหม่,ภาคเหนือ,2,21169.0524,2977,187,จ้างเหมาและบริการ,570.8340,534,2.696550,26
สงขลา,ภาคใต้,3,17784.0206,1469,98,ถนน สะพาน และทางสัญจร,4225.3709,172,23.759368,54
สงขลา,ภาคใต้,3,17784.0206,1469,98,บุคลากร สวัสดิการ และเงินอุดหนุน,7842.9363,411,44.101030,2
สงขลา,ภาคใต้,3,17784.0206,1469,98,น้ำ ชลประทาน ประปา และระบายน้ำ,1961.3325,94,11.028623,63
สงขลา,ภาคใต้,3,17784.0206,1469,98,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,523.7056,161,2.944810,30
สงขลา,ภาคใต้,3,17784.0206,1469,98,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,569.4509,42,3.202037,41
สงขลา,ภาคใต้,3,17784.0206,1469,98,อาคารและสิ่งก่อสร้างอื่น,1184.7085,114,6.661646,73
สงขลา,ภาคใต้,3,17784.0206,1469,98,อาหารและโภชนาการ,378.4273,174,2.127906,57
สงขลา,ภาคใต้,3,17784.0206,1469,98,กิจกรรม อบรม และบริหารจัดการ,736.9583,61,4.143935,30
สงขลา,ภาคใต้,3,17784.0206,1469,98,จ้างเหมาและบริการ,361.1303,240,2.030645,40
นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,4,17441.3421,2157,137,ถนน สะพาน และทางสัญจร,6138.1271,222,35.192975,19
นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,4,17441.3421,2157,137,บุคลากร สวัสดิการ และเงินอุดหนุน,4740.4361,603,27.179308,24
นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,4,17441.3421,2157,137,น้ำ ชลประทาน ประปา และระบายน้ำ,1462.1707,72,8.383361,72
นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,4,17441.3421,2157,137,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,339.1574,198,1.944560,56
นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,4,17441.3421,2157,137,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,640.0191,44,3.669552,35
นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,4,17441.3421,2157,137,อาคารและสิ่งก่อสร้างอื่น,2272.5801,192,13.029846,28
นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,4,17441.3421,2157,137,อาหารและโภชนาการ,502.5205,315,2.881203,37
นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,4,17441.3421,2157,137,กิจกรรม อบรม และบริหารจัดการ,730.8438,101,4.190296,27
นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,4,17441.3421,2157,137,จ้างเหมาและบริการ,615.4873,410,3.528899,14
ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,5,17409.6184,1752,122,ถนน สะพาน และทางสัญจร,4207.3248,164,24.166669,49
ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,5,17409.6184,1752,122,บุคลากร สวัสดิการ และเงินอุดหนุน,7655.4800,481,43.972704,3
ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,5,17409.6184,1752,122,น้ำ ชลประทาน ประปา และระบายน้ำ,1013.6087,56,5.822119,76
ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,5,17409.6184,1752,122,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,567.0830,204,3.257297,24
ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,5,17409.6184,1752,122,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,706.8880,41,4.060330,32
ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,5,17409.6184,1752,122,อาคารและสิ่งก่อสร้างอื่น,1598.9938,139,9.184542,60
ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,5,17409.6184,1752,122,อาหารและโภชนาการ,359.9377,244,2.067465,61
ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,5,17409.6184,1752,122,กิจกรรม อบรม และบริหารจัดการ,727.6990,102,4.179868,28
ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,5,17409.6184,1752,122,จ้างเหมาและบริการ,572.6034,321,3.289006,18
ปทุมธานี,ภาคกลาง,6,13516.7214,1027,65,ถนน สะพาน และทางสัญจร,2234.1277,58,16.528621,74
ปทุมธานี,ภาคกลาง,6,13516.7214,1027,65,บุคลากร สวัสดิการ และเงินอุดหนุน,2308.8106,212,17.081144,57
ปทุมธานี,ภาคกลาง,6,13516.7214,1027,65,น้ำ ชลประทาน ประปา และระบายน้ำ,1099.6320,34,8.135346,73
ปทุมธานี,ภาคกลาง,6,13516.7214,1027,65,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,863.2442,143,6.386491,7
ปทุมธานี,ภาคกลาง,6,13516.7214,1027,65,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,1300.0567,64,9.618136,4
ปทุมธานี,ภาคกลาง,6,13516.7214,1027,65,อาคารและสิ่งก่อสร้างอื่น,1011.2886,83,7.481760,69
ปทุมธานี,ภาคกลาง,6,13516.7214,1027,65,อาหารและโภชนาการ,363.2804,109,2.687637,42
ปทุมธานี,ภาคกลาง,6,13516.7214,1027,65,กิจกรรม อบรม และบริหารจัดการ,3751.6373,143,27.755527,1
ปทุมธานี,ภาคกลาง,6,13516.7214,1027,65,จ้างเหมาและบริการ,584.6439,181,4.325338,8
ชลบุรี,ภาคตะวันออก,7,13436.7563,1190,100,ถนน สะพาน และทางสัญจร,3918.9623,117,29.165985,33
ชลบุรี,ภาคตะวันออก,7,13436.7563,1190,100,บุคลากร สวัสดิการ และเงินอุดหนุน,3139.7632,316,23.366973,38
ชลบุรี,ภาคตะวันออก,7,13436.7563,1190,100,น้ำ ชลประทาน ประปา และระบายน้ำ,1777.1380,47,13.225945,56
ชลบุรี,ภาคตะวันออก,7,13436.7563,1190,100,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,596.2512,115,4.437464,14
ชลบุรี,ภาคตะวันออก,7,13436.7563,1190,100,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,685.3760,66,5.100755,20
ชลบุรี,ภาคตะวันออก,7,13436.7563,1190,100,อาคารและสิ่งก่อสร้างอื่น,1504.2821,92,11.195277,44
ชลบุรี,ภาคตะวันออก,7,13436.7563,1190,100,อาหารและโภชนาการ,598.9582,164,4.457610,4
ชลบุรี,ภาคตะวันออก,7,13436.7563,1190,100,กิจกรรม อบรม และบริหารจัดการ,707.7256,54,5.267087,18
