province,region,rank_total,total_budget_million,items,agencies,ถนน สะพาน และทางสัญจร__budget_million,ถนน สะพาน และทางสัญจร__items,ถนน สะพาน และทางสัญจร__percent,บุคลากร สวัสดิการ และเงินอุดหนุน__budget_million,บุคลากร สวัสดิการ และเงินอุดหนุน__items,บุคลากร สวัสดิการ และเงินอุดหนุน__percent,น้ำ ชลประทาน ประปา และระบายน้ำ__budget_million,น้ำ ชลประทาน ประปา และระบายน้ำ__items,น้ำ ชลประทาน ประปา และระบายน้ำ__percent,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน__budget_million,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน__items,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน__percent,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม__budget_million,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม__items,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม__percent,อาคารและสิ่งก่อสร้างอื่น__budget_million,อาคารและสิ่งก่อสร้างอื่น__items,อาคารและสิ่งก่อสร้างอื่น__percent,อาหารและโภชนาการ__budget_million,อาหารและโภชนาการ__items,อาหารและโภชนาการ__percent,กิจกรรม อบรม และบริหารจัดการ__budget_million,กิจกรรม อบรม และบริหารจัดการ__items,กิจกรรม อบรม และบริหารจัดการ__percent,จ้างเหมาและบริการ__budget_million,จ้างเหมาและบริการ__items,จ้างเหมาและบริการ__percent
กรุงเทพมหานคร,ภาคกลาง,1,50260.1540,523,109,9508.9411,161,18.919443,22758.6547,12,45.281705,561.6413,12,1.117468,2228.5493,34,4.434028,4627.0634,116,9.206226,5841.0408,148,11.621613,1720.3628,2,3.422916,1676.3186,23,3.335283,1337.5820,15,2.661317
เชียงใหม่,ภาคเหนือ,2,21169.0524,2977,187,4205.9039,199,19.868173,9289.2521,946,43.881284,1500.6589,67,7.088928,1226.4561,401,5.793628,517.0074,60,2.442279,2408.8380,213,11.379054,644.5640,440,3.044841,805.5380,117,3.805262,570.8340,534,2.696550
สงขลา,ภาคใต้,3,17784.0206,1469,98,4225.3709,172,23.759368,7842.9363,411,44.101030,1961.3325,94,11.028623,523.7056,161,2.944810,569.4509,42,3.202037,1184.7085,114,6.661646,378.4273,174,2.127906,736.9583,61,4.143935,361.1303,240,2.030645
นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,4,17441.3421,2157,137,6138.1271,222,35.192975,4740.4361,603,27.179308,1462.1707,72,8.383361,339.1574,198,1.944560,640.0191,44,3.669552,2272.5801,192,13.029846,502.5205,315,2.881203,730.8438,101,4.190296,615.4873,410,3.528899
ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,5,17409.6184,1752,122,4207.3248,164,24.166669,7655.4800,481,43.972704,1013.6087,56,5.822119,567.0830,204,3.257297,706.8880,41,4.060330,1598.9938,139,9.184542,359.9377,244,2.067465,727.6990,102,4.179868,572.6034,321,3.289006
ปทุมธานี,ภาคกลาง,6,13516.7214,1027,65,2234.1277,58,16.528621,2308.8106,212,17.081144,1099.6320,34,8.135346,863.2442,143,6.386491,1300.0567,64,9.618136,1011.2886,83,7.481760,363.2804,109,2.687637,3751.6373,143,27.755527,584.6439,181,4.325338
ชลบุรี,ภาคตะวันออก,7,13436.7563,1190,100,3918.9623,117,29.165985,3139.7632,316,23.366973,1777.1380,47,13.225945,596.2512,115,4.437464,685.3760,66,5.100755,1504.2821,92,11.195277,598.9582,164,4.457610,707.7256,54,5.267087,508.2997,219,3.782905
อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,8,13171.2274,1439,104,3071.8394,118,23.322347,3529.5354,409,26.797316,2992.1622,94,22.717414,294.7771,133,2.238038,463.5543,39,3.519446,1488.7269,129,11.302871,382.2318,198,2.902021,537.9074,60,4.083958,410.4929,259,3.116588
เชียงราย,ภาคเหนือ,9,12373.0271,1682,106,4262.8130,127,34.452466,3232.4543,546,26.125008,1465.1624,63,11.841584,161.5872,143,1.305963,697.5234,57,5.637451,1145.6049,103,9.258889,375.2206,250,3.032569,726.1974,81,5.869198,306.4639,312,2.476871
นครศรีธรรมราช,ภาคใต้,10,11393.0277,1308,90,3270.5052,102,28.706199,2526.9303,367,22.179620,2473.2067,73,21.708072,362.6521,145,3.183106,470.0051,29,4.125375,1351.3883,125,11.861538,334.5701,182,2.936621,285.3373,37,2.504491,318.4326,248,2.794978
บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,11,10443.2212,1466,89,3466.4876,160,33.193663,1824.8122,441,17.473653,2138.0777,62,20.473355,180.1654,123,1.725190,439.1817,44,4.205424,1605.5256,97,15.373854,337.8584,228,3.235193,85.5063,41,0.818773,365.6063,270,3.500896
พระนครศรีอยุธยา,ภาคกลาง,12,9728.6212,868,62,3919.8703,90,40.292146,1234.7909,224,12.692353,2887.3899,68,29.679333,191.8170,94,1.971677,268.3207,9,2.758055,688.3158,75,7.075163,188.3852,120,1.936402,163.7066,24,1.682732,186.0248,164,1.912139
นนทบุรี,ภาคกลาง,13,9299.8379,530,72,577.0031,24,6.204443,2432.2690,119,26.153886,1878.1686,41,20.195713,192.0785,39,2.065396,747.6764,50,8.039671,2011.6587,65,21.631116,308.2703,58,3.314792,900.1407,60,9.679101,252.5726,74,2.715882
สกลนคร,ภาคตะวันออกเฉียงเหนือ,14,8548.9829,1490,87,1943.7415,107,22.736523,2569.5144,475,30.056375,1635.2441,49,19.127937,266.6781,142,3.119413,222.9378,19,2.607770,1146.0115,123,13.405238,354.7212,244,4.149280,271.0608,57,3.170679,139.0735,274,1.626784
ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,15,8523.1859,1519,94,2263.8150,119,26.560667,2480.0478,472,29.097662,767.1935,36,9.001253,229.7735,142,2.695864,494.4741,30,5.801517,1565.5370,136,18.367979,309.5599,240,3.631974,240.0447,54,2.816373,172.7404,290,2.026712
อุดรธานี,ภาคตะวันออกเฉียงเหนือ,16,8361.9866,1373,97,1926.8905,113,23.043454,2913.9296,427,34.847336,914.7073,42,10.938875,239.0939,134,2.859295,175.9808,26,2.104533,1197.6007,113,14.321964,332.4618,219,3.975871,456.2518,51,5.456261,205.0702,248,2.452410
สมุทรปราการ,ภาคกลาง,17,8338.5375,546,57,2468.3982,41,29.602292,1811.8462,167,21.728585,1784.6390,10,21.402302,219.6427,36,2.634067,781.3293,33,9.370100,730.1519,66,8.756354,293.5290,76,3.520150,135.0608,30,1.619718,113.9404,87,1.366431
สุรินทร์,ภาคตะวันออกเฉียงเหนือ,18,8299.5514,965,60,3723.8597,136,44.868205,1123.2922,263,13.534372,1817.8674,66,21.903201,138.6744,79,1.670866,524.0104,39,6.313720,575.8249,110,6.938024,199.2818,114,2.401115,99.8203,26,1.202719,96.9203,132,1.167778
นครปฐม,ภาคกลาง,19,8060.8343,859,64,1422.0397,61,17.641346,1607.5183,172,19.942332,1176.9682,41,14.601072,604.0088,119,7.493130,631.6548,29,7.836097,1312.7889,98,16.286018,209.0739,88,2.593701,293.2014,59,3.637358,803.5803,192,9.968947
ระยอง,ภาคตะวันออก,20,7563.6175,674,61,2846.3240,54,37.631781,1219.0728,202,16.117589,1428.1164,23,18.881394,161.4201,59,2.134165,430.1516,25,5.687115,494.7788,68,6.541563,256.1943,92,3.387193,505.0348,39,6.677159,222.5247,112,2.942041
ลำปาง,ภาคเหนือ,21,7490.4735,1075,77,2374.3343,88,31.698054,2162.8312,350,28.874426,974.3480,47,13.007829,146.1065,115,1.950564,146.7250,15,1.958821,1198.9730,67,16.006638,167.1581,160,2.231609,244.8043,52,3.268209,75.1931,181,1.003850
ศรีสะเกษ,ภาคตะวันออกเฉียงเหนือ,22,7429.1541,916,58,2371.6269,99,31.923243,2305.7462,255,31.036457,936.0560,30,12.599766,163.1373,84,2.195907,226.5798,21,3.049873,835.0858,70,11.240658,206.6426,130,2.781509,135.8024,30,1.827966,248.4771,197,3.344622
สุพรรณบุรี,ภาคกลาง,23,7327.4799,1055,76,2170.9150,82,29.627035,1423.9632,307,19.433191,1761.9256,70,24.045451,252.3003,105,3.443207,304.1537,24,4.150864,801.7470,96,10.941647,174.4131,160,2.380260,363.2990,35,4.958035,74.7630,176,1.020310
กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,24,7327.1266,1610,94,1566.0880,100,21.373836,2494.5614,552,34.045562,641.3264,30,8.752768,391.9096,187,5.348749,148.6533,17,2.028808,1574.4561,109,21.488043,295.4479,279,4.032248,95.2766,33,1.300327,119.4073,303,1.629661
ฉะเชิงเทรา,ภาคตะวันออก,25,7326.6664,768,62,3725.3462,76,50.846401,891.0129,218,12.161232,1285.0909,34,17.539913,136.8568,78,1.867927,138.4324,10,1.889432,542.5883,64,7.405664,169.1505,120,2.308697,318.5100,25,4.347270,119.6784,143,1.633463
กาญจนบุรี,ภาคตะวันตก,26,7154.4939,1151,76,2657.9326,89,37.150533,1708.1109,375,23.874657,730.6595,50,10.212595,316.8714,116,4.428984,218.1819,18,3.049578,745.2508,75,10.416541,258.3696,179,3.611291,365.3455,42,5.106518,153.7717,207,2.149302
สุราษฎร์ธานี,ภาคใต้,27,7115.2071,935,75,1820.9850,74,25.592860,2274.3174,284,31.964177,680.0839,28,9.558174,297.3472,107,4.179038,235.6340,17,3.311696,1088.2253,101,15.294359,320.2478,141,4.500892,183.3162,22,2.576400,215.0503,161,3.022404
นครสวรรค์,ภาคกลาง,28,7054.2193,715,53,2635.5661,77,37.361556,1725.6395,166,24.462516,1123.4598,52,15.926069,129.9283,61,1.841852,373.7210,14,5.297836,670.4510,58,9.504255,135.0193,81,1.914022,127.9908,45,1.814386,132.4435,161,1.877508
